ensembl_id	gene_name	gene_exon_size	mean_TPM
ENSG00000101442.9	ACTR5	2565	57.909
ENSG00000075089.8	ACTR6	3813	21.359
ENSG00000113812.12	ACTR8	4066	17.472
ENSG00000123165.8	ACTRT1	1437	0.015
ENSG00000169717.6	ACTRT2	1421	0.006
ENSG00000115170.12	ACVR1	3990	33.006
ENSG00000135503.11	ACVR1B	5690	4.41
ENSG00000123612.14	ACVR1C	9195	0.64
ENSG00000121989.13	ACVR2A	6770	14.15
ENSG00000114739.12	ACVR2B	15744	2.208
ENSG00000139567.11	ACVRL1	5040	0.129
ENSG00000243989.6	ACY1	3285	7.024
ENSG00000132744.6	ACY3	1300	1.66
ENSG00000119640.7	ACYP1	1841	46.227
ENSG00000170634.11	ACYP2	4964	14.883
ENSG00000196839.11	ADA	2852	129.213
ENSG00000164113.9	ADAD1	2699	1.045
ENSG00000140955.9	ADAD2	4111	0.059
ENSG00000168803.13	ADAL	5718	3.72
ENSG00000137845.13	ADAM10	16168	2.654
ENSG00000073670.12	ADAM11	4770	0.292
ENSG00000148848.13	ADAM12	9860	1.756
ENSG00000143537.12	ADAM15	6584	8.098
ENSG00000151694.11	ADAM17	5491	1.082
ENSG00000168619.14	ADAM18	3825	0.156
ENSG00000135074.14	ADAM19	7704	47.233
ENSG00000104755.13	ADAM2	2905	0.999
ENSG00000134007.3	ADAM20	2795	0.404
ENSG00000139985.6	ADAM21	2658	0.071
ENSG00000235812.4	ADAM21P1	2311	0
ENSG00000008277.13	ADAM22	12199	4.311
ENSG00000114948.11	ADAM23	6421	1.335
ENSG00000042980.11	ADAM28	9351	6.012
ENSG00000168594.14	ADAM29	5957	0.019
ENSG00000134249.6	ADAM30	2963	0.01
ENSG00000197140.13	ADAM32	10044	0.986
ENSG00000149451.16	ADAM33	5834	0.017
ENSG00000197475.10	ADAM3A	2999	0.303
ENSG00000271968.2	ADAM6	2015	0
ENSG00000069206.14	ADAM7	4483	0.537
ENSG00000151651.14	ADAM8	4780	69.9
ENSG00000168615.10	ADAM9	6913	7.473
ENSG00000134028.13	ADAMDEC1	2438	0.994
ENSG00000154734.13	ADAMTS1	7063	0.31
ENSG00000142303.12	ADAMTS10	5703	8.756
ENSG00000151388.9	ADAMTS12	9778	0.549
ENSG00000160323.17	ADAMTS13	5708	1.023
ENSG00000138316.9	ADAMTS14	5269	0.19
ENSG00000166106.3	ADAMTS15	5673	0.598
ENSG00000145536.14	ADAMTS16	5863	1.505
ENSG00000140470.12	ADAMTS17	8242	0.387
ENSG00000140873.14	ADAMTS18	6678	0.744
ENSG00000145808.7	ADAMTS19	5408	0.681
ENSG00000087116.12	ADAMTS2	7687	1.053
ENSG00000173157.15	ADAMTS20	7242	0.075
ENSG00000156140.7	ADAMTS3	6585	0.095
ENSG00000158859.9	ADAMTS4	10334	0.091
ENSG00000154736.5	ADAMTS5	9056	0.181
ENSG00000049192.13	ADAMTS6	8567	4.01
ENSG00000136378.13	ADAMTS7	7730	0.313
ENSG00000134917.9	ADAMTS8	4523	0.235
ENSG00000241684.4	ADAMTS9-AS2	7232	2.236
ENSG00000163638.12	ADAMTS9	10680	0.505
ENSG00000178031.14	ADAMTSL1	13172	0.002
ENSG00000197859.8	ADAMTSL2	4677	0.139
ENSG00000156218.11	ADAMTSL3	9754	1.921
ENSG00000143382.12	ADAMTSL4	6432	2.878
ENSG00000185761.9	ADAMTSL5	3625	4.754
ENSG00000105963.12	ADAP1	5062	13.519
ENSG00000184060.9	ADAP2	3750	5.69
ENSG00000160710.14	ADAR	8356	140.397
ENSG00000197381.14	ADARB1	10012	24.66
ENSG00000205696.4	ADARB2-AS1	1125	0.929
ENSG00000185736.14	ADARB2	10513	0.025
ENSG00000065457.9	ADAT1	4486	22.53
ENSG00000189007.14	ADAT2	7175	24.287
ENSG00000213638.5	ADAT3	2237	4.835
ENSG00000063761.14	ADCK1	5317	5.498
ENSG00000133597.8	ADCK2	2913	17.581
ENSG00000163050.15	ADCK3	7797	15.166
ENSG00000123815.10	ADCK4	5488	10.395
ENSG00000173137.10	ADCK5	2742	1.698
ENSG00000164742.13	ADCY1	13530	0.551
ENSG00000143199.16	ADCY10	6139	0.853
ENSG00000078295.14	ADCY2	17538	0.513
ENSG00000138031.13	ADCY3	6058	21.008
ENSG00000129467.12	ADCY4	8067	4.564
ENSG00000173175.13	ADCY5	8873	0.883
ENSG00000174233.10	ADCY6	8410	0.036
ENSG00000121281.11	ADCY7	8630	108.07
ENSG00000155897.8	ADCY8	5961	1.33
ENSG00000162104.8	ADCY9	10358	11.26
ENSG00000141433.11	ADCYAP1	3805	0.014
ENSG00000078549.13	ADCYAP1R1	6832	0.103
ENSG00000087274.15	ADD1	13106	8.3
ENSG00000075340.21	ADD2	12673	0.147
ENSG00000148700.12	ADD3	6541	107.631
ENSG00000187758.6	ADH1A	2258	0.355
ENSG00000196616.11	ADH1B	6524	0.044
ENSG00000248144.4	ADH1C	1860	0.08
ENSG00000198099.7	ADH4	2453	0.491
ENSG00000197894.9	ADH5	4866	35.348
ENSG00000172955.16	ADH6	4401	1.036
ENSG00000196344.10	ADH7	3108	0.144
ENSG00000147576.14	ADHFE1	3750	31.98
ENSG00000182551.12	ADI1	5560	19.972
ENSG00000182035.10	ADIG	1033	0.45
ENSG00000181092.8	ADIPOQ	4613	0.139
ENSG00000159346.11	ADIPOR1	3193	81.002
ENSG00000006831.9	ADIPOR2	5878	38.288
ENSG00000156110.12	ADK	3184	98.879
ENSG00000148926.8	ADM	2718	1.802
ENSG00000128165.8	ADM2	4276	0.421
ENSG00000101126.14	ADNP	7081	46.188
ENSG00000101544.7	ADNP2	5893	30.883
ENSG00000181915.4	ADO	3627	9.971
ENSG00000163485.14	ADORA1	4191	0.408
ENSG00000128271.18	ADORA2A	4193	12.747
ENSG00000170425.3	ADORA2B	2551	2.042
ENSG00000121933.16	ADORA3	4486	0.086
ENSG00000159322.16	ADPGK	5931	51.775
ENSG00000144843.10	ADPRH	4615	2.722
ENSG00000153531.11	ADPRHL1	2313	1.492
ENSG00000116863.10	ADPRHL2	1668	53.966
ENSG00000120907.16	ADRA1A	5848	0.533
ENSG00000170214.3	ADRA1B	1738	1.574
ENSG00000171873.7	ADRA1D	2790	0.57
ENSG00000150594.6	ADRA2A	3745	0.03
ENSG00000274286.1	ADRA2B	3371	1.626
ENSG00000184160.7	ADRA2C	2179	0
ENSG00000043591.5	ADRB1	2853	0.786
ENSG00000169252.5	ADRB2	3443	34.241
ENSG00000188778.4	ADRB3	2950	0.047
ENSG00000173020.9	ADRBK1	6665	109.992
ENSG00000100077.13	ADRBK2	9303	10.723
ENSG00000130706.11	ADRM1	2142	25.05
ENSG00000239900.10	ADSL	5632	26.688
ENSG00000035687.9	ADSS	3666	92.758
ENSG00000185100.9	ADSSL1	5775	0.713
ENSG00000106624.7	AEBP1	4955	8.197
ENSG00000139154.13	AEBP2	6572	33.528
ENSG00000181026.14	AEN	6018	23.694
ENSG00000104964.13	AES	5298	207.006
ENSG00000272620.1	AFAP1-AS1	6795	3.211
ENSG00000196526.9	AFAP1	10036	5.228
ENSG00000157510.12	AFAP1L1	4721	0.339
ENSG00000169129.13	AFAP1L2	5789	1.83
ENSG00000172493.19	AFF1	10733	35.566
ENSG00000144218.17	AFF3	12737	13.266
ENSG00000072364.11	AFF4	11297	40.675
ENSG00000223959.7	AFG3L1P	9532	10.766
ENSG00000141385.8	AFG3L2	6624	27.41
ENSG00000079557.4	AFM	2244	0.261
ENSG00000183077.14	AFMID	4048	5.296
ENSG00000081051.6	AFP	3259	0.066
ENSG00000119844.13	AFTPH	5767	44.843
ENSG00000038002.7	AGA	2675	18.235
ENSG00000157985.16	AGAP1	13898	12.216
ENSG00000271880.1	AGAP11	3078	1.132
ENSG00000135439.10	AGAP2	6728	22.434
ENSG00000133612.17	AGAP3	11032	5.5
ENSG00000188234.12	AGAP4	3474	7.119
ENSG00000172650.11	AGAP5	3115	31.571
ENSG00000204149.8	AGAP6	3160	32.37
ENSG00000166748.11	AGBL1	4481	7.518
ENSG00000165923.14	AGBL2	5483	5.477
ENSG00000146856.13	AGBL3	7307	6.014
ENSG00000186094.15	AGBL4	7462	2.104
ENSG00000084693.14	AGBL5	5283	36.734
ENSG00000204305.12	AGER	2077	15.34
ENSG00000173744.16	AGFG1	9321	46.574
ENSG00000106351.11	AGFG2	5478	21.827
ENSG00000164252.11	AGGF1	5051	22.848
ENSG00000006530.14	AGK	6547	47.946
ENSG00000162688.14	AGL	8434	13.847
ENSG00000116771.5	AGMAT	2500	12.061
ENSG00000187546.12	AGMO	3587	4.497
ENSG00000204310.9	AGPAT1	3631	38.774
ENSG00000169692.11	AGPAT2	1798	9.944
ENSG00000160216.17	AGPAT3	11296	21.249
ENSG00000279355.1	AGPAT4-IT1	1878	4.828
ENSG00000026652.12	AGPAT4	8769	31.365
ENSG00000155189.10	AGPAT5	4684	19.875
ENSG00000158669.10	AGPAT6	7939	49.787
ENSG00000138678.9	AGPAT9	3468	6.776
ENSG00000018510.11	AGPS	8197	21.856
ENSG00000106541.10	AGR2	2845	0.058
ENSG00000173467.7	AGR3	1160	1.268
ENSG00000188157.12	AGRN	10758	0.868
ENSG00000159723.4	AGRP	764	1.996
ENSG00000135744.7	AGT	2291	0.333
ENSG00000135049.14	AGTPBP1	4939	115.911
ENSG00000144891.16	AGTR1	3478	0.089
ENSG00000180772.6	AGTR2	2882	0.004
ENSG00000177674.14	AGTRAP	2435	45.495
ENSG00000172482.4	AGXT	4459	0.031
ENSG00000113492.12	AGXT2	3952	0.509
ENSG00000153207.13	AHCTF1	9609	16.29
ENSG00000101444.11	AHCY	3894	25.317
ENSG00000168710.16	AHCYL1	5113	27.839
ENSG00000158467.15	AHCYL2	6858	11.01
ENSG00000126705.12	AHDC1	7157	1.009
ENSG00000135541.19	AHI1	8705	4.666
ENSG00000124942.12	AHNAK	19465	332.457
ENSG00000185567.6	AHNAK2	18771	0.072
ENSG00000106546.11	AHR	6661	47.308
ENSG00000063438.15	AHRR	7678	0.922
ENSG00000100591.6	AHSA1	2948	57.387
ENSG00000173209.21	AHSA2	8382	55.825
ENSG00000145192.11	AHSG	2353	0.006
ENSG00000169877.8	AHSP	562	5.768
ENSG00000111732.9	AICDA	3115	0.17
ENSG00000186063.11	AIDA	4232	27.301
ENSG00000204472.11	AIF1	1276	96.921
ENSG00000126878.11	AIF1L	5299	0.469
ENSG00000156709.12	AIFM1	3306	25.795
ENSG00000042286.13	AIFM2	5135	7.256
ENSG00000183773.14	AIFM3	5401	1.038
ENSG00000146416.15	AIG1	6016	3.325
ENSG00000112297.13	AIM1	8009	52.563
ENSG00000176092.12	AIM1L	5871	6.049
ENSG00000163568.12	AIM2	2009	21.755
ENSG00000164022.15	AIMP1	3328	75.182
ENSG00000106305.8	AIMP2	1838	40.014
ENSG00000110711.8	AIP	1640	147.277
ENSG00000129221.13	AIPL1	3985	0.087
ENSG00000160224.15	AIRE	4678	0.886
ENSG00000196581.9	AJAP1	12405	0.299
ENSG00000129474.14	AJUBA	5979	0.215
ENSG00000106992.16	AK1	2667	98.797
ENSG00000004455.15	AK2	5727	48.544
ENSG00000147853.15	AK3	4483	27.035
ENSG00000162433.13	AK4	7578	0.895
ENSG00000154027.17	AK5	6919	0.481
ENSG00000140057.7	AK7	5001	0.072
ENSG00000165695.8	AK8	2731	4.502
ENSG00000121057.11	AKAP1	5399	18.628
ENSG00000108599.13	AKAP10	4848	35.945
ENSG00000023516.8	AKAP11	9920	25.232
ENSG00000131016.15	AKAP12	8741	0.811
ENSG00000170776.18	AKAP13	20280	57.876
ENSG00000186471.11	AKAP14	1170	3.453
ENSG00000241978.8	AKAP2	7862	14.803
ENSG00000111254.6	AKAP3	3668	0.703
ENSG00000147081.13	AKAP4	3042	0
ENSG00000179841.8	AKAP5	7512	0.561
ENSG00000151320.9	AKAP6	19748	2.117
ENSG00000118507.14	AKAP7	4394	7.493
ENSG00000105127.7	AKAP8	4296	60.892
ENSG00000011243.16	AKAP8L	5081	9.427
ENSG00000127914.15	AKAP9	18210	11.949
ENSG00000166452.10	AKIP1	2300	12.487
ENSG00000174574.14	AKIRIN1	2741	108.6
ENSG00000135334.8	AKIRIN2	1999	233.339
ENSG00000106948.15	AKNA	10601	120.674
ENSG00000162641.17	AKNAD1	4915	21.861
ENSG00000117448.12	AKR1A1	3121	41.386
ENSG00000085662.12	AKR1B1	3660	52.923
ENSG00000198074.8	AKR1B10	1744	0.184
ENSG00000227471.7	AKR1B15	3325	0.338
ENSG00000187134.11	AKR1C1	8834	0.117
ENSG00000151632.15	AKR1C2	6703	0.362
ENSG00000196139.10	AKR1C3	4555	1.495
ENSG00000198610.9	AKR1C4	1914	5.591
ENSG00000122787.13	AKR1D1	3093	1.994
ENSG00000165568.16	AKR1E2	2417	2.677
ENSG00000053371.11	AKR7A2	1781	27.192
ENSG00000229020.4	AKR7A2P1	915	3.045
ENSG00000162482.4	AKR7A3	1710	1.351
ENSG00000211454.12	AKR7L	2768	0.859
ENSG00000142208.14	AKT1	11162	13.474
ENSG00000204673.9	AKT1S1	5737	9.825
ENSG00000105221.15	AKT2	15035	15.53
ENSG00000117020.15	AKT3	9475	36.311
ENSG00000166971.15	AKTIP	5202	49.848
ENSG00000148218.14	ALAD	4983	18.293
ENSG00000023330.13	ALAS1	2536	26.65
ENSG00000158578.17	ALAS2	2134	14.028
ENSG00000163631.15	ALB	3377	0.491
ENSG00000170017.11	ALCAM	7179	6.65
ENSG00000161618.8	ALDH16A1	4643	21.491
ENSG00000059573.7	ALDH18A1	3766	39.365
ENSG00000165092.11	ALDH1A1	2849	1.018
ENSG00000128918.13	ALDH1A2	8622	0.449
ENSG00000184254.15	ALDH1A3	5772	0.33
ENSG00000137124.6	ALDH1B1	3066	1.3
ENSG00000144908.12	ALDH1L1	13712	0.038
ENSG00000136010.12	ALDH1L2	8507	0.505
ENSG00000111275.11	ALDH2	9720	3.404
ENSG00000108602.16	ALDH3A1	3918	0.015
ENSG00000072210.17	ALDH3A2	6457	15.59
ENSG00000006534.14	ALDH3B1	6626	2.615
ENSG00000132746.13	ALDH3B2	3235	0.256
ENSG00000159423.15	ALDH4A1	3689	4.443
ENSG00000112294.11	ALDH5A1	5525	5.802
ENSG00000119711.11	ALDH6A1	6680	2.782
ENSG00000164904.14	ALDH7A1	6911	0.414
ENSG00000118514.12	ALDH8A1	2868	3.634
ENSG00000143149.11	ALDH9A1	3308	54.575
ENSG00000149925.15	ALDOA	6153	108.823
ENSG00000136872.16	ALDOB	2451	0.668
ENSG00000109107.12	ALDOC	2928	20.973
ENSG00000033011.10	ALG1	4496	18.521
ENSG00000139133.5	ALG10	4389	3.369
ENSG00000175548.7	ALG10B	11449	3.24
ENSG00000253710.2	ALG11	7716	1.101
ENSG00000182858.12	ALG12	5350	10.315
ENSG00000101901.9	ALG13	7925	11.009
ENSG00000172339.9	ALG14	9633	2.143
ENSG00000189366.8	ALG1L	843	4.164
ENSG00000251287.7	ALG1L2	1499	1.831
ENSG00000119523.9	ALG2	2983	19.307
ENSG00000214160.8	ALG3	3464	15.592
ENSG00000120697.7	ALG5	2194	50.837
ENSG00000088035.14	ALG6	4950	22.728
ENSG00000159063.11	ALG8	3448	23.917
ENSG00000086848.13	ALG9	8013	8.978
ENSG00000171094.14	ALK	6932	0.601
ENSG00000100601.8	ALKBH1	2844	12.521
ENSG00000189046.9	ALKBH2	2290	8.198
ENSG00000166199.11	ALKBH3	2372	40.199
ENSG00000160993.3	ALKBH4	2312	14.796
ENSG00000091542.8	ALKBH5	3190	82.484
ENSG00000239382.9	ALKBH6	4293	17.847
ENSG00000125652.6	ALKBH7	1455	14.222
ENSG00000137760.13	ALKBH8	4506	14.021
ENSG00000151360.8	ALLC	2542	0.285
ENSG00000116127.16	ALMS1	14054	7.462
ENSG00000163016.8	ALMS1P	1654	1.492
ENSG00000108839.10	ALOX12	2616	2.244
ENSG00000179477.8	ALOX12B	2656	1.843
ENSG00000262943.6	ALOX12P2	5655	0.843
ENSG00000161905.11	ALOX15	3404	0.376
ENSG00000179593.14	ALOX15B	3028	0.178
ENSG00000012779.9	ALOX5	3730	26.402
ENSG00000132965.8	ALOX5AP	1715	113.604
ENSG00000179148.8	ALOXE3	3760	0.206
ENSG00000163295.4	ALPI	2632	0
ENSG00000073331.16	ALPK1	12325	4.721
ENSG00000198796.6	ALPK2	9431	1.346
ENSG00000136383.6	ALPK3	10940	0.139
ENSG00000162551.12	ALPL	3007	0.226
ENSG00000163283.6	ALPP	3059	0.022
ENSG00000163286.6	ALPPL2	2493	0.01
ENSG00000003393.13	ALS2	10384	1.716
ENSG00000178038.15	ALS2CL	9057	7.711
ENSG00000155754.13	ALS2CR11	6815	1.613
ENSG00000155749.11	ALS2CR12	2635	11.362
ENSG00000180318.3	ALX1	1445	0.273
ENSG00000156150.6	ALX3	1859	8.389
ENSG00000052850.5	ALX4	5750	0.718
ENSG00000183684.7	ALYREF	1574	118.428
ENSG00000242110.6	AMACR	4838	3.289
ENSG00000178522.13	AMBN	2009	0.476
ENSG00000106927.10	AMBP	2041	0.267
ENSG00000110497.13	AMBRA1	7673	33.854
ENSG00000123505.13	AMD1	7222	81.494
